sample_id,file_name,source_regime,cooling_group,cv_fold,split_unit,random_seed
ma_001,10-400-01-H-12mm-4000x14.tif,IV,I+IV,3,original_image,2026
ma_002,10-400-01-H-6mm-4000x06.tif,IV,I+IV,1,original_image,2026
ma_003,10-400-01-H-9mm-4000x10.tif,IV,I+IV,4,original_image,2026
ma_004,10-400-01-H-9mm-4000x12.tif,IV,I+IV,4,original_image,2026
ma_005,10-400-01-V-12mm-4000x16.tif,IV,I+IV,2,original_image,2026
ma_006,10-400-01-V-12mm-4000x17.tif,IV,I+IV,2,original_image,2026
ma_007,10-400-01-V-6mm-4000x07.tif,IV,I+IV,0,original_image,2026
ma_008,10-400-01-V-6mm-4000x08.tif,IV,I+IV,1,original_image,2026
ma_009,10-400-01-V-9mm-4000x12.tif,IV,I+IV,3,original_image,2026
ma_010,10-400-01-V-9mm-4000x13.tif,IV,I+IV,0,original_image,2026
ma_011,10-500-03-H-12mm-4000x17.tif,III,III,4,original_image,2026
ma_012,10-500-03-H-6mm-4000x07.tif,III,III,2,original_image,2026
ma_013,10-500-03-H-6mm-4000x08.tif,III,III,3,original_image,2026
ma_014,10-500-03-H-9mm-4000x12.tif,III,III,4,original_image,2026
ma_015,10-500-03-H-9mm-4000x13.tif,III,III,0,original_image,2026
ma_016,10-500-03-V-12mm-4000x16.tif,III,III,0,original_image,2026
ma_017,10-500-03-V-6mm-4000x06.tif,III,III,1,original_image,2026
ma_018,10-500-03-V-6mm-4000x07.tif,III,III,2,original_image,2026
ma_019,10-500-03-V-9mm-4000x11.tif,III,III,3,original_image,2026
ma_020,10-500-03-V-9mm-4000x12.tif,III,III,1,original_image,2026
ma_021,10_400-H-12mm-4000x14.tif,I,I+IV,2,original_image,2026
ma_022,10_400-H-6mm-4000x06.tif,I,I+IV,1,original_image,2026
ma_023,10_400-H-6mm-4000x07.tif,I,I+IV,3,original_image,2026
ma_024,10_400-H-9mm-4000x10.tif,I,I+IV,1,original_image,2026
ma_025,10_400-H-9mm-4000x11.tif,I,I+IV,4,original_image,2026
ma_026,10_400-V-12mm-4000x14.tif,I,I+IV,4,original_image,2026
ma_027,10_400-V-6mm-4000x06.tif,I,I+IV,3,original_image,2026
ma_028,10_400-V-6mm-4000x07.tif,I,I+IV,0,original_image,2026
ma_029,10_400-V-9mm-4000x10.tif,I,I+IV,0,original_image,2026
ma_030,10_400-V-9mm-4000x11.tif,I,I+IV,2,original_image,2026
ma_031,10_500-H-12mm-4000x14.tif,II,II,1,original_image,2026
ma_032,10_500-H-6mm-4000x06.tif,II,II,0,original_image,2026
ma_033,10_500-H-6mm-4000x07.tif,II,II,3,original_image,2026
ma_034,10_500-H-9mm-4000x10.tif,II,II,1,original_image,2026
ma_035,10_500-H-9mm-4000x11.tif,II,II,4,original_image,2026
ma_036,10_500-V-12mm-4000x15.tif,II,II,4,original_image,2026
ma_037,10_500-V-6mm-4000x07.tif,II,II,2,original_image,2026
ma_038,10_500-V-6mm-4000x08.tif,II,II,3,original_image,2026
ma_039,10_500-V-9mm-4000x11.tif,II,II,2,original_image,2026
ma_040,10_500-V-9mm-4000x12.tif,II,II,0,original_image,2026
